Bill Id,Long Title,Short Title,Origin_House,Status,SessionID
3942,A bill to make provision for the regulation of artificial intelligence; and for connected purposes.,Artificial Intelligence (Regulation) Bill [HL],Lords,1,39
3741,"A Bill to allow adults who are terminally ill, subject to safeguards, to be assisted to end their own life; and for connected purposes.",Assisted Dying for Terminally Ill Adults Bill [HL],Lords,1,39
3758,A Bill to introduce a minimum period of 56 days after an asylum claim is determined before an asylum claim is considered to be determined for the purposes of ending asylum support; to make provision about the serving of documentation relevant to the ending of asylum support following an asylum determination; and connected purposes.,Asylum Support (Prescribed Period) Bill [HL],Lords,1,39
3734,A Bill to make provision about recapitalisation costs in relation to the special resolution regime under the Banking Act 2009.,Bank Resolution (Recapitalisation) Bill [HL],Lords,1,39
3910,A bill to make provision about local and school bus services; and for connected purposes.,Bus Services (No. 2) Bill [HL],Lords,1,39
3750,A Bill to require the Secretary of State to publish an annual report on complications from abortions in England; and for connected purposes.,Complications from Abortions (Annual Report) Bill [HL],Lords,1,39
3767,"A Bill to restrict the use of biocides (substances with antimicrobial properties) in consumer products; add biocides to the list of substances which cosmetic products, personal care products, and treated articles must not contain except subject to restrictions; require the Secretary of State to monitor the impact of biocides in these products on antibiotic resistance; grant the Secretary of State, and require the use of, powers to reduce the use of biocides which cause antibiotic resistance; prohibit marketing that makes misleading claims about products containing biocides compared to soap and water or alcohol based sanitisers; and for connected purposes.",Consumer Products (Control of Biocides) Bill [HL],Lords,1,39
3739,A Bill to amend the Crown Estate Act 1961.,Crown Estate Bill [HL],Lords,1,39
3762,A Bill to transfer responsibility for the Crown Estate in Wales to the Welsh Government; and for connected purposes.,Crown Estate (Wales) Bill [HL],Lords,1,39
3825,"A bill to make provision about access to customer data and business data; to make provision about services consisting of the use of information to ascertain and verify facts about individuals; to make provision about the recording and sharing, and keeping of registers, of information relating to apparatus in streets; to make provision about the keeping and maintenance of registers of births and deaths; to make provision for the regulation of the processing of information relating to identified or identifiable living individuals; to make provision about privacy and electronic communications; to establish the Information Commission; to make provision about information standards for health and social care; to make provision about the grant of smart meter communication licences; to make provision about the disclosure of information to improve public service delivery; to make provision about the retention of information by providers of internet services in connection with investigations into child deaths; to make provision about providing information for purposes related to the carrying out of independent research into online safety matters; to make provision about the retention of biometric data; to make provision about services for the provision of electronic signatures, electronic seals and other trust services; to make provision about the creation and solicitation of purported intimate images and for connected purposes.",Data (Use and Access) Bill [HL],Lords,1,39
3769,A Bill to amend the School Standards and Framework Act 1998 to make provision regarding assemblies at state schools without a designated religious character in England; to repeal the requirement for those schools to hold collective worship; and for connected purposes.,Education (Assemblies) Bill [HL],Lords,1,39
3746,A Bill to make provision about statements related to values of British citizenship in education in England and Wales; and for connected purposes.,Education (Values of British Citizenship) Bill [HL],Lords,1,39
3749,A Bill to make provision for a statutory objective requiring public bodies to contribute to delivery of targets set under the Environment Act 2021 and Climate Change Act 2008; to place a duty on public bodies to meet this objective in the exercise of their functions; and for connected purposes.,Environmental Targets (Public Authorities) Bill [HL],Lords,1,39
3832,A bill to establish the Independent Football Regulator; to make provision for the licensing of football clubs; to make provision about the distribution of revenue received by organisers of football competitions; and for connected purposes.,Football Governance Bill [HL],Lords,1,39
