Bill Id,Long Title,Short Title,Origin_House,Status,SessionID,predicted_class,doc_probs
3785,"A Bill to make provision about absent voting in connection with local government elections in Scotland and Wales, elections to the Scottish Parliament and elections to Senedd Cymru; and for connected purposes.",Absent Voting (Elections in Scotland and Wales) Bill,Commons,1,39,SuccessLords,[-94.46418931 -42.00911514 -60.48701593 -13.04274149]
3800,A Bill to require providers of electronic communications networks to grant other such providers access to their apparatus where that is necessary to ensure consistent network coverage; to prevent those providers from charging more than the standard market rate for such access; to require the regulator to impose penalties on providers who unreasonably fail to grant such access; to make provision for the purpose of incentivising providers to allow customers of other providers to use their networks where access cannot be granted to their apparatus; and for connected purposes.,Access to Telecommunications Networks Bill,Commons,1,39,FailedCommons,[-292.22471585 -600.37159219 -556.13642665 -519.78676212]
3814,A Bill to prohibit the granting of planning permission in respect of Grade 1 agricultural land; to provide for exemptions from that prohibition in specified circumstances; to place duties on local planning authorities in respect of such land; and for connected purposes.,Agricultural Land (Planning) Bill,Commons,1,39,FailedLords,[-302.22369348 -170.74219327 -266.39572469 -222.53469078]
3790,"A Bill to make provision for and in connection with restricting the importation and non-commercial movement of dogs, cats and ferrets.","Animal Welfare (Import of Dogs, Cats and Ferrets) Bill",Commons,1,39,SuccessLords,[ -8.17812362 -16.71723663 -22.12843351  -6.83012474]
3798,A Bill to require a person in charge of a dog to take all reasonable steps to ensure that that dog does not fatally injure another dog; and for connected purposes.,Animal Welfare (Responsibility for Dog on Dog Attacks) Bill,Commons,1,39,SuccessLords,[-62.55224569 -47.46249064 -49.16249749 -44.35985094]
3811,A Bill to prohibit the use of animals in medical research; to require the use of non-animal methods for conducting medical research; and for connected purposes.,Animals in Medical Research (Prohibition) Bill,Commons,1,39,SuccessLords,[-42.51350328 -44.43164362 -65.46780898 -37.08748922]
3858,A Bill to create an offence of disclosing the identity of a person who is the subject of an investigation in respect of the alleged commission of an offence; and for connected purposes.,Anonymity of Suspects Bill,Commons,1,39,SuccessLords,[-72.18952587 -56.9355233  -62.65072917 -46.23989829]
3855,A Bill to require the Government to conduct a review of every Arm’s-Length Body in existence on 4 July 2024 and to publish the results of those reviews within four years; and for connected purposes.,Arm’s-Length Bodies (Review) Bill,Commons,1,39,FailedLords,[-41.52529238 -27.66249455 -35.34305529 -33.31658392]
3881,"A Bill to establish, and confer functions on, the Armed Forces Commissioner; to abolish the office of Service Complaints Ombudsman; and for connected purposes.",Armed Forces Commissioner Bill,Commons,1,39,FailedLords,[-37.21969875 -16.78810684 -19.86135925 -37.38155251]
3922,A Bill to make provision for an inquiry into the end use of arms sold to foreign states to determine whether they have been used in violation of international law; to immediately suspend the sale of arms to foreign states where it cannot be demonstrated that arms sold will not be used in violation of international law; and for connected purposes.,Arms Trade (Inquiry and Suspension) Bill,Commons,1,39,FailedCommons,[ -91.66199458 -161.22751824 -160.27041485 -148.92920727]
