Bill Id,Long Title,Short Title,Origin_House,Status,SessionID,predicted_class,doc_probs
3443,A Bill to make provision about victims of criminal conduct and others affected by criminal conduct; about the appointment and functions of advocates for victims of major incidents; about the release of prisoners; about the membership and functions of the Parole Board; to prohibit certain prisoners from forming a marriage or civil partnership; and for connected purposes.,Victims and Prisoners Act 2024,Commons,2,37,SuccesCommons,[2.16327537e-64 5.51665089e-72 1.00000000e+00 3.36898670e-39]
2862,"A Bill to make provision in relation to freedom of speech and academic freedom in higher
education institutions and in students’ unions; and for connected purposes.",Higher Education (Freedom of Speech) Act 2023,Commons,2,36,SuccesCommons,[3.43616840e-10 2.50347747e-01 7.49631752e-01 2.05004116e-05]
3200,A Bill to make provision about the days on which offenders are released from detention; and for connected purposes.,Offenders (Day of Release from Detention) Act 2023,Commons,2,37,SuccesCommons,[3.11955615e-05 4.27156553e-03 7.73157759e-01 2.22539480e-01]
3137,A Bill to make provision for and in connection with the regulation by OFCOM of certain internet services; for and in connection with communications offences; and for connected purposes,Online Safety Act 2023,Commons,2,36,SuccesCommons,[2.36345540e-24 6.70058342e-28 1.00000000e+00 4.78460188e-12]
3422,A Bill to make provision about the extension of pensions automatic enrolment to jobholders under the age of 22; to make provision about the lower qualifying earnings threshold for automatic enrolment; and for connected purposes.,Pensions (Extension of Automatic Enrolment) Act 2023,Commons,2,37,SuccesCommons,[1.41583640e-09 7.29986954e-05 9.99924366e-01 2.63435768e-06]
3215,A Bill to make provision about prohibiting the trustees and managers of pension schemes from being indemnified in respect of penalties imposed under pensions dashboards regulations.,Pensions Dashboards (Prohibition of Indemnification) Act 2023,Commons,2,37,SuccessLords,[1.79282997e-26 7.44834546e-12 3.59630450e-01 6.40369549e-01]
3210,A Bill to make provision about lasting powers of attorney; to make provision about proof of instruments creating powers of attorney; and for connected purposes,Powers of Attorney Act 2023,Commons,2,37,SuccessLords,[1.64480432e-21 2.44711880e-09 3.29234151e-01 6.70765847e-01]
3069,"A Bill to make provision about the security of internet-connectable products and
products capable of connecting to such products; to make provision about
electronic communications infrastructure; and for connected purposes.",Product Security and Telecommunications Infrastructure Act 2022,Commons,2,36,FailedLords,[6.08257114e-14 9.99985215e-01 1.47837738e-05 8.16474152e-10]
3191,"A Bill to make provision about protection from redundancy during or after pregnancy or after periods of maternity, adoption or shared parental leave.",Protection from Redundancy (Pregnancy and Family Leave) Act 2023,Commons,2,37,SuccesCommons,[1.76790712e-06 5.61819509e-11 9.99972490e-01 2.57418883e-05]
3196,"A Bill to make provision about causing intentional harassment, alarm or distress to a person in public where the behaviour is done because of that person’s sex; and for connected purposes.",Protection from Sex-based Harassment in Public Act 2023,Commons,2,37,SuccessLords,[9.38546891e-09 3.52905936e-01 2.77694759e-06 6.47091278e-01]
