id,predicted_class,doc_probs
2391,FailedCommons,[9.96386813e-01 3.57485921e-03 8.49619906e-07 3.74785634e-05]
3307,SuccesCommons,[1.97434907e-28 2.02611372e-30 1.00000000e+00 1.52332336e-32]
218,SuccessLords,[1.07950823e-11 3.57659729e-07 7.27301472e-05 9.99926912e-01]
2739,SuccessLords,[2.90598945e-10 1.40497524e-07 4.15054299e-09 9.99999855e-01]
358,SuccessLords,[3.58477296e-01 3.29035418e-04 1.55400763e-03 6.39639661e-01]
1038,SuccessLords,[1.20735764e-04 2.97911644e-06 1.21742556e-06 9.99875068e-01]
2740,SuccessLords,[5.87881763e-04 8.83400479e-09 3.47473891e-07 9.99411762e-01]
2593,SuccesCommons,[4.33746598e-06 2.87161334e-11 9.99982632e-01 1.30302644e-05]
230,SuccessLords,[0.06633267 0.03796221 0.00205165 0.89365347]
3035,SuccessLords,[6.85720887e-06 4.86326556e-04 2.73361617e-04 9.99233455e-01]
1204,SuccessLords,[9.04803673e-05 6.78894529e-07 1.33654257e-09 9.99908839e-01]
636,SuccesCommons,[1.03896001e-09 7.30885973e-08 9.99997283e-01 2.64261410e-06]
1180,FailedCommons,[9.98616206e-01 1.33568423e-03 4.39155824e-09 4.81053549e-05]
1357,FailedCommons,[8.85197049e-01 3.61928659e-03 9.47696532e-08 1.11183569e-01]
1028,SuccessLords,[2.30567651e-03 1.12202379e-04 7.96407767e-12 9.97582121e-01]
932,SuccessLords,[8.37631774e-06 1.40033453e-02 1.23830727e-04 9.85864448e-01]
1415,SuccessLords,[1.57630517e-01 1.16409114e-04 4.74807398e-09 8.42253069e-01]
2551,FailedCommons,[9.71310679e-01 8.32377239e-09 2.86893123e-02 2.93107292e-10]
1411,SuccessLords,[1.40021116e-20 1.49454473e-12 4.37837602e-20 1.00000000e+00]
2174,SuccesCommons,[1.73600800e-80 1.72557280e-82 1.00000000e+00 2.53654023e-83]
2709,SuccesCommons,[0.17284424 0.00436002 0.7942485  0.02854724]
1089,SuccessLords,[3.23559223e-05 6.46263122e-04 4.85996324e-11 9.99321381e-01]
2435,SuccesCommons,[4.69230459e-33 2.62866510e-35 1.00000000e+00 1.62352766e-37]
1037,FailedCommons,[8.37082363e-01 4.43987812e-03 3.20306304e-04 1.58157452e-01]
2792,SuccesCommons,[7.51777379e-06 1.56292951e-01 8.26022614e-01 1.76769174e-02]
1922,SuccessLords,[2.64153315e-05 3.88146289e-01 3.54132420e-07 6.11826942e-01]
501,SuccesCommons,[2.30058673e-53 2.29825910e-53 1.00000000e+00 9.79095879e-57]
534,SuccessLords,[4.93714054e-02 4.66629776e-05 7.75672849e-06 9.50574175e-01]
121,SuccessLords,[1.89517643e-05 1.33888655e-02 7.76187704e-09 9.86592175e-01]
1084,SuccesCommons,[2.32176503e-29 6.12983368e-47 1.00000000e+00 1.25154339e-56]
386,SuccessLords,[1.37342937e-04 2.57250958e-03 5.86498478e-08 9.97290089e-01]
2817,FailedCommons,[9.92364091e-01 1.67801161e-06 1.41107773e-09 7.63422992e-03]
2735,SuccesCommons,[1.69891108e-07 4.12344185e-07 9.99999418e-01 6.34872045e-12]
221,SuccesCommons,[1.78090165e-24 1.62152609e-23 1.00000000e+00 1.95760087e-18]
3396,SuccessLords,[2.58864971e-22 3.62713587e-13 1.52109433e-07 9.99999848e-01]
1534,SuccesCommons,[0.00808981 0.03402884 0.93083879 0.02704256]
405,SuccessLords,[2.70976064e-01 8.38177686e-03 6.51013023e-06 7.20635649e-01]
