Bill Id,Long Title,Short Title,Origin_House,Status,SessionID,predicted_class,doc_probs
3381,A Bill to amend certain provisions of the Royal Albert Hall Act 1966 relating to the annual contribution payable by the Members of the Corporation towards the general purposes of the Royal Albert Hall; to make further provision regarding the exclusion of the Members from the hall.,Royal Albert Hall Bill [HL],Lords,1,37,FailedLords,[3.65866490e-51 1.00000000e+00 1.18769604e-15 4.34040253e-12]
3552,A Bill to make provision about mechanisms for promoting and protecting standards of integrity and ethics in the public service; and for connected purposes.,Public Service (Integrity and Ethics) Bill [HL],Lords,1,38,FailedLords,[1.01569768e-18 9.99981427e-01 5.92172894e-08 1.85137710e-05]
3685,"A Bill to amend the Road Traffic Act 1988 and the Road Traffic Offenders Act 1988 to create criminal offences relating to dangerous, careless or inconsiderate cycling, in particular applying to pedal cycles, electrically assisted pedal cycles and electric scooters; and to require a review of the impact of the dangerous use of electric scooters on other road users.",Road Traffic Offences (Cycling) Bill [HL],Lords,1,38,FailedLords,[1.24838157e-45 1.00000000e+00 1.23201135e-54 2.19572478e-47]
3381,A Bill to amend certain provisions of the Royal Albert Hall Act 1966 relating to the annual contribution payable by the Members of the Corporation towards the general purposes of the Royal Albert Hall; to make further provision regarding the exclusion of the Members from the hall.,Royal Albert Hall Bill [HL],Lords,1,37,FailedLords,[3.65866490e-51 1.00000000e+00 1.18769604e-15 4.34040253e-12]
3525,A Bill to make provision to require every school to have access to a qualified mental health professional; and for connected purposes.,Schools (Mental Health Professionals) Bill [HL],Lords,1,38,FailedLords,[4.95497232e-10 9.99999999e-01 2.93997655e-10 2.38239522e-12]
3538,"A Bill to make provision for the creation of a single status for workers by amending the meaning of “employee”, “worker”, “employer” and related expressions in the Trade Union and Labour Relations (Consolidation) Act 1992, the Employment Rights Act 1996 and cognate legislation; and for connected purposes.",Status of Workers Bill [HL],Lords,1,38,FailedLords,[2.22744509e-15 9.91555818e-01 6.20162393e-03 2.24255769e-03]
3563,A Bill to amend the definition of still-birth to apply from 20 weeks into a pregnancy; and for connected purposes.,Still-Birth (Definition) Bill [HL],Lords,1,38,FailedLords,[4.08722936e-08 9.99989097e-01 2.27365620e-06 8.58879913e-06]
3513,A Bill to amend the law regarding succession to peerages and baronetcies; and for connected purposes.,Succession to Peerages and Baronetcies Bill [HL],Lords,1,38,FailedLords,[4.40819563e-10 9.77355419e-01 2.04864304e-02 2.15815030e-03]
3534,A Bill to ensure that people in wheelchairs are able to access all public buildings via ramps or other measures; and for connected purposes.,Wheelchair Access Bill [HL],Lords,1,38,FailedLords,[4.15442859e-13 9.99928752e-01 5.90415778e-05 1.22063587e-05]
3522,A Bill to make provision for certain employers to be required to publish information about differences in pay between people from prescribed ethnic backgrounds; and connected purposes.,Workforce Information (Ethnicity) Bill [HL],Lords,1,38,FailedLords,[6.63365503e-06 9.99992446e-01 9.02097362e-07 1.80637275e-08]
3385,A Bill to amend the Government of Wales Act 2006 and to devolve powers to set bank holidays.,Bank Holidays (Wales) Bill [HL],Lords,1,37,SuccessLords,[1.93002031e-03 1.57466118e-06 5.01878773e-05 9.98018217e-01]
3161,"A Bill to establish the right to breathe clean air; to require the Secretary of State to achieve and maintain clean air in England and Wales; to involve the UK Health Security Agency in setting and reviewing pollutants and their limits; to enhance the powers, duties and functions of various agencies and authorities in relation to air pollution; to establish the Citizens’ Commission for Clean Air with powers to institute or intervene in legal proceedings; to require the Secretary of State and the relevant national authorities to apply environmental principles in carrying out their duties under this Act and the clean air enactments; and for connected purposes",Clean Air (Human Rights) Bill [HL],Lords,1,37,FailedLords,[2.67913203e-111 1.00000000e+000 5.17100259e-106 5.96821848e-103]
3176,"A Bill to require the coroner, following an inquest, to record an opinion as to the relevant factors in a case of death by suicide; and for connected purposes",Coroners (Determination of Suicide) Bill [HL],Lords,1,37,FailedLords,[8.04478369e-22 1.00000000e+00 5.67157245e-16 3.02689572e-13]
3166,A Bill to require an electrical safety certificate to be provided to a prospective purchaser of domestic premises in specified circumstances; and for connected purposes,Domestic Premises (Electrical Safety Certificate) Bill [HL],Lords,1,37,FailedLords,[8.05893579e-07 9.99854153e-01 1.38331939e-04 6.70919988e-06]
3170,A Bill to require the Secretary of State to achieve the nature target for the United Kingdom; and for connected purposes,Ecology Bill [HL],Lords,1,37,FailedCommons,[9.45627110e-01 3.77566212e-02 6.35557587e-04 1.59807113e-02]
3186,A Bill to make provision to include non-religious philosophical convictions within the school curriculum; to require that persons who hold non-religious philosophical convictions must be represented at standing advisory councils on religious education and at agreed syllabus conferences; and for connected purposes,Education (Non-religious Philosophical Convictions) Bill [HL],Lords,1,37,SuccesCommons,[5.07390106e-18 2.02477647e-05 9.99969210e-01 1.05426956e-05]
